,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,17.3,27.9,0,9.0,11.8,SW,35,16:51,22.6,52,1,S,11,1017.0,26.6,46,5,SW,19,1015.0
,2024-01-2,17.9,28.4,0,10.0,4.1,ESE,43,22:32,22.3,60,7,SE,11,1016.4,27.8,42,7,SE,13,1014.4
,2024-01-3,19.1,31.6,0,5.6,11.3,SE,41,15:14,22.6,49,3,E,17,1020.0,30.8,27,1,E,19,1016.1
,2024-01-4,16.2,31.1,0,11.6,13.1,E,50,05:31,22.8,45,1,E,13,1020.9,30.0,27,1,E,13,1016.5
,2024-01-5,16.2,30.9,0,11.0,13.2,E,35,01:01,23.2,52,1,E,11,1019.0,28.5,40,0,SW,19,1015.6
,2024-01-6,17.7,33.4,0,6.2,13.1,SW,41,16:27,24.5,52,1,ENE,13,1016.1,30.9,35,1,SSW,15,1012.0
,2024-01-7,18.1,36.0,0,9.2,12.7,SSW,37,17:03,28.3,40,4,ENE,13,1013.4,33.1,32,6,SSW,17,1010.3
,2024-01-8,20.1,36.5,0,12.0,13.1,SSW,43,15:21,30.9,32,1,ENE,6,1010.9,30.8,36,1,SSW,22,1008.4
,2024-01-9,18.1,30.6,0,12.4,13.0,SW,48,15:27,23.1,50,1,S,15,1011.8,27.5,52,0,SW,24,1010.0
,2024-01-10,17.3,30.6,0,10.2,13.0,SW,33,14:54,23.4,51,0,E,11,1013.5,28.2,44,0,SW,19,1010.1
,2024-01-11,19.0,31.8,0,9.0,12.0,SW,41,17:09,25.1,49,7,ENE,6,1010.2,29.1,45,2,SW,19,1007.3
,2024-01-12,19.3,37.0,0,9.2,13.0,NE,35,20:52,25.2,57,1,ENE,13,1009.8,35.3,33,1,E,9,1005.7
,2024-01-13,23.2,40.7,1.8,11.0,11.3,E,33,00:41,29.7,45,1,E,11,1007.7,38.6,24,7,SE,11,1004.0
,2024-01-14,23.3,36.6,0,11.2,12.7,SW,24,10:21,31.3,49,1,N,7,1005.3,36.3,33,1,SW,11,1003.3
,2024-01-15,22.3,34.4,0,11.0,12.1,WSW,26,13:42,27.5,64,0,N,7,1006.7,28.8,61,1,W,13,1004.4
,2024-01-16,21.7,38.3,0,9.0,13.0,NE,43,22:38,32.1,45,0,ENE,13,1003.9,29.7,57,3,WNW,15,1003.0
,2024-01-17,23.4,31.2,0,12.0,12.6,WSW,31,16:22,29.5,58,1,NNE,4,1005.4,29.6,54,1,W,13,1004.5
,2024-01-18,21.2,26.8,0,10.0,11.0,SW,35,13:12,24.6,55,2,WSW,13,1008.4,24.8,58,2,WSW,17,1008.2
,2024-01-19,21.4,27.6,0,10.2,12.8,SW,37,14:14,23.9,57,5,SW,9,1009.5,25.4,57,1,SW,20,1008.1
,2024-01-20,17.8,34.0,0,7.8,13.1,SW,31,13:59,25.9,49,0,NNE,11,1009.7,30.5,47,0,SSW,17,1007.7
,2024-01-21,19.0,30.3,0,9.6,13.1,SSE,41,17:23,26.4,65,1,SSW,11,1008.6,26.8,61,1,SSE,19,1007.6
,2024-01-22,15.9,28.0,0,10.2,13.1,SSW,41,15:26,23.1,51,0,SSE,13,1011.8,25.7,51,0,SW,22,1010.2
,2024-01-23,16.6,27.7,0,9.4,13.0,S,39,13:52,23.0,46,0,SSE,15,1013.7,26.7,46,0,SSW,20,1011.0
,2024-01-24,17.5,28.2,0,8.6,12.9,SSW,46,16:00,22.7,56,0,SSE,13,1014.0,25.5,48,1,S,26,1010.8
,2024-01-25,17.4,28.5,0,10.4,12.6,S,46,14:38,21.2,53,1,SSE,17,1015.7,26.0,46,0,S,24,1012.4
,2024-01-26,16.3,29.8,0,10.6,12.9,E,37,01:35,21.6,48,0,E,11,1019.0,26.9,40,2,SSW,20,1014.8
,2024-01-27,17.0,34.0,0,8.4,13.0,S,33,17:35,24.9,37,0,ENE,9,1013.7,32.6,22,0,SSW,13,1008.4
,2024-01-28,17.1,27.1,0,10.0,12.1,SSW,39,15:01,22.5,63,7,SSE,13,1012.1,25.7,59,3,SSW,22,1011.0
,2024-01-29,17.1,28.1,0,8.8,12.6,SSE,41,14:57,22.3,48,1,NNE,9,1017.4,25.8,48,0,S,19,1015.0
,2024-01-30,18.0,36.0,0,10.0,12.9,S,37,17:03,24.7,42,0,E,13,1018.3,34.1,27,0,SSW,20,1014.4
,2024-01-31,19.2,41.9,0,11.2,12.9,S,31,15:29,33.0,29,0,N,17,1015.9,39.1,22,1,S,15,1013.2
