,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,17.7,28.2,5.4,,,E,39,11:54,23.4,68,,E,26,1019.4,26.0,56,,NE,15,1015.9
,2024-01-2,16.3,29.2,0.2,,,ENE,37,15:27,22.4,58,,ENE,20,1016.5,28.2,43,,NE,19,1014.0
,2024-01-3,15.1,31.5,0.2,,,SSE,24,17:31,23.0,50,,E,9,1015.1,30.3,38,,NW,9,1012.2
,2024-01-4,17.1,32.7,0,,,ESE,50,21:11,22.8,69,,ENE,2,1014.5,31.7,39,,SW,15,1011.5
,2024-01-5,18.6,30.4,0,,,ESE,33,14:57,24.9,62,,E,13,1015.5,30.1,45,,S,11,1013.1
,2024-01-6,16.1,29.9,0,,,ESE,33,16:58,21.3,65,,E,15,1017.6,28.2,49,,S,7,1014.4
,2024-01-7,15.6,28.0,0,,,E,28,10:49,21.4,65,,NE,11,1017.4,26.6,48,,ENE,7,1014.4
,2024-01-8,15.8,25.2,0,,,N,26,10:55,21.3,72,,NE,9,1014.4,23.6,75,,NNW,9,1012.9
,2024-01-9,19.3,28.0,0.2,,,N,26,08:05,23.3,83,,NNW,15,1013.3,22.5,87,,N,7,1010.8
,2024-01-10,20.6,31.5,11.4,,,E,44,16:49,23.2,78,,N,15,1014.1,30.1,50,,NNE,7,1011.1
,2024-01-11,19.5,31.2,0.2,,,E,44,16:51,24.9,68,,ENE,9,1015.9,26.6,67,,SSE,11,1014.3
,2024-01-12,16.2,29.5,0.6,,,ENE,37,11:15,22.8,58,,ESE,13,1017.2,28.6,41,,ENE,15,1014.8
,2024-01-13,17.1,32.5,0,,,S,31,12:33,23.8,66,,E,15,1014.7,30.7,39,,SSE,15,1010.9
,2024-01-14,17.8,32.2,0,,,ESE,37,19:23,24.0,63,,SE,9,1013.0,31.0,42,,SSE,17,1010.4
,2024-01-15,18.6,32.0,0,,,ESE,50,15:45,25.5,58,,ESE,22,1013.1,30.0,44,,ESE,17,1010.8
,2024-01-16,19.4,27.5,0,,,E,35,18:20,22.9,67,,ESE,11,1012.7,22.2,86,,NNW,9,1009.8
,2024-01-17,18.0,30.3,19.6,,,N,30,09:39,23.1,72,,NNE,11,1010.2,29.7,55,,NNE,15,1005.6
,2024-01-18,21.0,28.2,2.2,,,W,33,12:44,21.7,94,,NNW,17,1006.7,26.4,77,,W,9,1003.4
,2024-01-19,19.9,32.0,5.8,,,E,26,22:55,23.5,79,,N,11,1007.0,29.7,45,,SE,11,1005.5
,2024-01-20,18.4,33.6,0.2,,,NNW,41,15:12,24.6,72,,NE,11,1009.7,32.6,40,,W,11,1006.2
,2024-01-21,19.8,34.0,0,,,NW,31,14:13,23.9,83,,N,13,1009.9,31.6,39,,WSW,11,1006.8
,2024-01-22,20.8,37.2,0,,,ESE,37,20:36,27.6,69,,NNE,11,1008.5,35.8,33,,WNW,17,1005.5
,2024-01-23,17.6,31.6,0,,,E,37,17:35,21.9,69,,E,17,1010.6,29.1,49,,NNW,9,1008.6
,2024-01-24,15.4,34.2,0,,,S,26,13:43,22.2,69,,ENE,9,1013.7,32.3,36,,S,17,1010.6
,2024-01-25,19.4,36.3,0,,,N,20,17:30,25.3,73,,N,11,1013.8,34.7,29,,N,7,1009.8
,2024-01-26,17.9,35.5,0,,,NNW,35,12:40,24.2,64,,N,19,1009.1,34.2,44,,NW,17,1005.1
,2024-01-27,23.8,35.7,0,,,SSW,48,14:23,27.4,80,,N,17,1005.5,33.4,45,,NNW,17,1001.2
,2024-01-28,21.5,32.4,37.4,,,E,28,19:31,24.2,87,,NNE,9,1007.0,31.3,54,,S,9,1005.4
,2024-01-29,22.6,26.4,0.2,,,ENE,24,23:23,25.3,76,,ENE,9,1010.4,24.5,87,,N,7,1009.2
,2024-01-30,21.9,31.9,0.8,,,SSE,35,14:59,25.9,75,,E,11,1010.2,31.3,54,,NNW,17,1007.8
,2024-01-31,19.1,32.8,20.2,,,SSE,48,17:36,22.2,77,, ,Calm,1010.6,30.6,48,,ESE,13,1007.8
