,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,13.9,29.5,0,,,ESE,44,22:53,20.4,57,,SE,7,,28.1,38,,WSW,19,
,2024-01-2,14.4,26.0,0,,,ENE,69,22:19,19.3,71,,ENE,24,,24.5,49,,ENE,20,
,2024-01-3,15.9,29.2,0,,,ENE,76,07:14,19.5,58,,E,28,,28.0,31,,ENE,28,
,2024-01-4,13.0,28.7,0,,,ENE,67,00:01,19.8,53,,ENE,30,,27.6,29,,ENE,24,
,2024-01-5,12.7,29.5,0,,,E,65,00:41,20.1,56,,ENE,26,,28.6,30,,ESE,11,
,2024-01-6,13.7,32.1,0,,,ENE,48,00:02,22.0,59,,NE,22,,30.3,29,,W,6,
,2024-01-7,16.9,34.8,0,,,NE,43,06:43,24.6,49,,NE,20,,34.4,24,,NE,7,
,2024-01-8,19.3,37.3,0,,,SW,44,16:16,28.6,37,,NE,17,,34.2,24,,WSW,24,
,2024-01-9,16.1,33.0,0,,,E,57,22:35,23.5,48,,S,13,,29.9,40,,SW,19,
,2024-01-10,13.7,31.7,0,,,E,48,00:20,21.2,55,,E,22,,31.3,29,,WSW,11,
,2024-01-11,15.3,34.7,0,,,E,61,23:58,24.2,52,,ENE,20,,33.9,24,,SW,9,
,2024-01-12,16.2,34.7,0,,,,,,22.7,60,,E,28,,33.9,34,,NE,17,
,2024-01-13,19.4,38.4,0,,,ENE,50,00:13,25.7,54,,NE,24,,37.7,23,,SE,6,
,2024-01-14,25.1,38.1,0,,,NE,59,10:17,32.7,36,,NE,20,,37.4,25,,NNE,15,
,2024-01-15,22.1,35.1,0,,,WNW,41,13:34,29.6,46,,N,9,,33.5,39,,W,11,
,2024-01-16,22.2,41.0,0,,,N,87,13:28,30.1,49,,NE,26,,27.9,68,,NNE,20,
,2024-01-17,19.7,32.9,34.8,,,NNE,44,00:03,27.1,62,,NNE,17,,29.5,56,,W,20,
,2024-01-18,18.7,25.1,0,,,W,46,12:14,21.4,67,,W,20,,24.1,54,,WSW,24,
,2024-01-19,15.8,28.2,0,,,WSW,35,14:33,21.7,63,,SW,9,,27.0,50,,SW,20,
,2024-01-20,16.7,33.5,0,,,NE,39,04:33,23.8,55,,NE,19,,32.5,38,,SSW,15,
,2024-01-21,20.0,31.4,0,,,W,44,17:25,26.1,52,,SSW,7,,29.1,38,,W,26,
,2024-01-22,14.2,27.7,0,,,WSW,48,14:44,20.5,53,,S,11,,25.7,48,,WSW,26,
,2024-01-23,14.0,27.9,0,,,NNE,44,18:42,20.4,51,,SE,9,,26.1,41,,E,17,
,2024-01-24,14.4,29.6,0,,,WSW,43,16:00,21.0,59,,SE,9,,28.0,39,,S,19,
,2024-01-25,13.8,29.9,0,,,NE,52,23:44,19.4,57,,E,17,,29.3,27,,SE,13,
,2024-01-26,13.0,29.4,0,,,E,61,02:20,18.6,55,,ENE,22,,27.8,25,,ENE,13,
,2024-01-27,13.8,33.4,0,,,ENE,43,03:15,21.5,44,,NE,19,,32.3,18,,W,7,
,2024-01-28,16.0,27.6,0,,,SSW,39,06:53,19.9,65,,SW,20,,26.1,52,,WSW,15,
,2024-01-29,13.7,30.0,0,,,ENE,50,07:42,19.3,54,,ENE,22,,27.8,36,,S,17,
,2024-01-30,13.9,36.5,0,,,NE,52,03:47,22.2,49,,NE,28,,35.0,18,,N,7,
,2024-01-31,19.9,41.5,0,,,E,41,02:53,28.7,36,,NE,17,,40.1,17,,W,19,
