,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,16.7,36.3,0,7.6,12.6,ENE,57,06:20,27.0,42,0,ENE,20,1010.4,32.9,31,3,WSW,28,1006.6
,2023-12-2,18.9,27.9,0,9.0,10.9,W,39,16:02,24.4,58,1,WSW,15,1009.8,25.4,53,6,W,24,1009.3
,2023-12-3,19.1,27.5,0,6.8,9.8,SW,33,11:47,24.0,53,7,W,15,1013.5,26.4,49,1,SW,20,1013.3
,2023-12-4,17.0,27.9,0,8.0,11.8,SSW,43,15:30,24.5,56,7,SW,19,1016.7,26.9,45,4,WSW,26,1015.7
,2023-12-5,16.1,30.7,0,8.4,9.4,SW,46,16:33,22.6,55,7,E,24,1018.5,29.8,38,6,SW,26,1015.0
,2023-12-6,16.6,33.0,0,7.2,13.1,SW,48,16:06,25.8,37,0,E,6,1016.3,30.4,32,0,SW,33,1011.8
,2023-12-7,17.2,28.5,0,10.4,7.7,SW,52,14:00,21.8,53,7,SW,17,1011.7,26.9,44,7,SW,35,1010.8
,2023-12-8,14.0,27.1,0,7.4,13.0,SW,56,14:54,22.9,44,2,S,20,1019.2,25.8,41,1,SW,37,1017.6
,2023-12-9,13.5,29.0,0,10.2,13.0,E,52,07:48,20.0,37,0,E,31,1026.9,28.0,16,0,E,28,1023.2
,2023-12-10,14.1,31.4,0,10.8,13.3,E,57,03:36,21.8,32,0,ENE,24,1026.8,30.4,10,0,E,28,1021.5
,2023-12-11,15.2,33.9,0,10.4,13.2,E,61,06:34,23.5,32,0,E,19,1022.9,33.0,12,0,ESE,17,1017.6
,2023-12-12,16.0,35.5,0,11.2,13.2,E,46,03:39,25.2,41,0,E,22,1015.7,33.6,23,0,W,24,1010.6
,2023-12-13,13.0,32.3,0,10.6,13.2,SW,39,14:23,28.1,30,0,WSW,9,1012.6,30.7,28,0,WSW,28,1012.4
,2023-12-14,16.8,31.1,0,10.0,13.1,SSW,44,14:57,23.6,48,1,E,24,1016.9,29.4,37,2,SW,33,1013.7
,2023-12-15,15.5,33.6,0,10.8,12.7,E,44,08:21,23.9,39,4,E,28,1015.4,32.7,13,6,WSW,19,1010.8
,2023-12-16,17.0,37.4,0,10.4,11.5,E,63,03:17,25.8,34,3,E,30,1007.7,35.7,26,7,WSW,26,1001.7
,2023-12-17,19.7,33.2,0,11.4,13.2,ESE,50,22:30,26.9,42,0,E,13,1005.6,30.5,38,1,SW,30,1005.3
,2023-12-18,16.6,31.6,0,13.0,13.2,E,56,07:21,21.9,47,1,E,37,1016.3,30.9,23,1,SE,26,1013.1
,2023-12-19,16.3,32.8,0,12.0,12.3,E,63,04:01,23.4,38,3,E,30,1015.5,31.2,25,2,ENE,31,1011.6
,2023-12-20,19.2,37.5,0,,11.3,E,78,22:01,25.0,32,3,ENE,17,1013.0,36.3,14,6,E,33,1008.0
,2023-12-21,22.4,38.1,0,22.8,9.6,E,72,00:27,29.0,22,6,ENE,31,1008.6,37.8,13,7,ESE,28,1005.2
,2023-12-22,20.0,31.8,0,12.6,12.6,ENE,37,00:50,28.8,28,3,NE,9,1008.8,28.4,46,1,WSW,19,1009.0
,2023-12-23,16.6,35.7,0,8.4,13.1,ESE,54,22:35,26.1,37,0,E,17,1013.5,35.0,20,0,SE,11,1010.7
,2023-12-24,16.6,36.1,0,12.8,12.4,E,54,07:49,23.8,41,1,E,31,1014.7,34.7,17,3,SW,22,1009.5
,2023-12-25,20.0,37.5,0,9.4,12.0,SW,41,16:16,31.7,23,1,NE,15,1007.8,33.9,23,7,WSW,28,1004.4
,2023-12-26,21.1,28.3,0,10.6,9.5,SW,41,14:40,23.2,64,7,WSW,13,1009.0,26.9,44,1,SSW,24,1008.6
,2023-12-27,16.7,27.8,0,8.4,12.7,SSW,43,01:03,23.1,49,1,SSW,15,1014.4,26.1,45,1,WSW,30,1013.4
,2023-12-28,18.2,31.7,0,9.2,11.4,ESE,78,23:31,21.3,55,7,E,31,1018.6,30.6,27,6,SE,26,1015.0
,2023-12-29,17.4,32.8,0,10.2,11.0,E,80,23:58,22.9,48,5,E,31,1018.5,31.8,27,6,E,30,1013.4
,2023-12-30,18.1,36.0,0,12.4,10.4,E,70,00:01,25.4,44,1,ENE,35,1013.2,35.4,22,7,SSE,20,1008.8
,2023-12-31,18.9,33.0,0,9.0,13.1,ESE,44,00:40,25.4,45,0,ESE,7,1014.0,31.0,41,1,W,26,1011.9
