",""Date"",""Minimum temperature (°C)"",""Maximum temperature (°C)"",""Rainfall (mm)"",""Evaporation (mm)"",""Sunshine (hours)"",""Direction of maximum wind gust "",""Speed of maximum wind gust (km/h)"",""Time of maximum wind gust"",""9am Temperature (°C)"",""9am relative humidity (%)"",""9am cloud amount (oktas)"",""9am wind direction"",""9am wind speed (km/h)"",""9am MSL pressure (hPa)"",""3pm Temperature (°C)"",""3pm relative humidity (%)"",""3pm cloud amount (oktas)"",""3pm wind direction"",""3pm wind speed (km/h)"",""3pm MSL pressure (hPa)"""
,2024-02-1,24.4,44.6,0,10.0,12.7,WSW,39,15:38,35.7,20,0,NE,13,1013.0,41.9,10,1,WSW,22,1010.8
,2024-02-2,18.9,43.0,0,14.6,12.7,SSW,43,13:40,36.3,20,0,ESE,9,1011.1,41.1,12,1,SW,26,1007.9
,2024-02-3,21.8,35.2,0,13.8,10.9,SW,46,18:23,29.9,35,6,SSW,17,1009.6,30.9,45,5,WSW,28,1007.8
,2024-02-4,15.6,27.4,0,11.0,12.7,SSW,56,18:16,21.8,43,3,SE,24,1016.9,26.1,35,0,SW,37,1014.1
,2024-02-5,14.9,29.5,0,10.0,12.7,SE,43,01:37,20.6,37,1,ESE,22,1021.3,28.5,20,0,SE,24,1017.9
,2024-02-6,14.9,33.3,0,8.8,12.6,E,52,06:03,22.9,36,1,E,24,1022.8,32.4,12,0,E,13,1017.8
,2024-02-7,16.3,37.3,0,10.6,12.6,E,54,02:43,27.8,26,0,NE,30,1019.5,36.4,8,0,NE,24,1015.7
,2024-02-8,15.4,41.1,0,11.8,12.7,ENE,50,12:21,31.7,16,0,NE,22,1017.5,40.8,6,0,NNE,17,1014.3
,2024-02-9,18.8,43.4,0,14.2,12.5,ENE,46,07:17,33.6,15,0,NE,30,1017.4,43.3,7,0,WSW,26,1013.8
,2024-02-10,18.9,43.6,0,14.0,12.5,WSW,46,15:21,36.4,10,0,NNE,24,1016.5,42.1,7,0,SW,28,1013.0
,2024-02-11,16.3,39.7,0,12.8,12.4,SSW,35,17:49,30.4,31,0,SW,4,1014.4,39.0,17,0,WSW,20,1011.2
,2024-02-12,19.4,36.8,0,11.4,12.4,E,56,23:46,26.5,45,0,ESE,11,1013.5,36.0,30,0,WSW,24,1010.9
,2024-02-13,16.3,35.4,0,10.2,12.4,ESE,46,00:01,22.6,39,0,ESE,28,1020.0,34.9,9,0,ESE,24,1015.4
,2024-02-14,17.2,37.5,0,11.4,12.3,ENE,52,06:56,23.8,42,0,ENE,30,1016.8,36.3,14,2,ENE,24,1012.0
,2024-02-15,23.3,43.1,0,11.8,11.7,E,56,03:36,31.4,24,7,ENE,31,1010.8,42.8,11,5,S,19,1006.5
,2024-02-16,21.2,29.6,0,12.0,9.5,SW,30,15:47,24.7,69,1,NNW,15,1013.6,28.7,51,7,W,15,1013.8
,2024-02-17,13.6,39.5,0,5.6,11.3,SSW,35,16:14,24.6,56,7,ENE,24,1017.4,37.0,29,1,WSW,22,1014.2
,2024-02-18,24.0,43.2,0,10.4,6.2,E,54,23:30,28.7,42,7,E,24,1015.5,42.5,15,7,ESE,22,1010.9
,2024-02-19,27.7,43.7,0,13.6,5.5,E,63,07:07,31.4,31,7,ENE,35,1011.6,40.5,9,7,NNW,9,1008.3
,2024-02-20,24.3,40.0,0,11.4,12.0,SW,31,12:43,33.4,23,1,N,13,1009.2,38.7,19,7,W,19,1007.2
,2024-02-21,18.4,29.7,0,9.6,9.7,WSW,35,08:21,26.3,62,7,W,26,1010.9,27.7,63,7,SW,24,1009.6
,2024-02-22,17.3,32.7,0,8.6,12.1,E,46,16:54,21.8,45,0,ESE,30,1018.1,31.4,19,0,ESE,22,1014.4
,2024-02-23,17.8,38.6,0,9.0,12.1,ENE,54,07:58,22.9,46,7,ENE,31,1014.2,36.9,20,5,ENE,19,1008.2
,2024-02-24,21.5,25.4,1.2,12.6,12.1,N,46,03:46,21.8,88,8,SSW,17,1010.8,25.0,68,8,WNW,11,1011.4
,2024-02-25,19.6,25.9,0.4,2.8,0.3,ESE,52,00:58,20.9,71,7,E,22,1014.9,20.8,83,8,ESE,30,1012.4
,2024-02-26,19.7,33.7,1.0,2.0,10.3,SSW,43,21:18,25.8,62,5,E,28,1012.2,33.0,41,1,SW,28,1008.8
,2024-02-27,17.3,29.8,0,9.4,10.9,S,44,05:04,21.0,52,7,SSE,26,1015.6,27.0,35,1,WSW,26,1012.3
,2024-02-28,16.7,31.8,0,8.0,7.3,ENE,52,06:23,23.9,42,6,ENE,19,1012.9,27.9,37,7,SW,28,1010.5
,2024-02-29,17.1,37.0,0,7.8,12.0,SW,41,17:39,23.9,46,1,SE,11,1013.2,36.5,18,2,S,19,1008.1
