,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,15.6,30.3,0,9.0,11.8,W,43,14:31,24.0,47,1,SSW,9,1016.7,28.8,38,5,SW,28,1014.4
,2024-01-2,17.3,29.9,0,10.0,4.1,E,61,23:15,23.8,55,7,ESE,22,1016.2,27.9,39,7,SE,31,1014.2
,2024-01-3,19.2,31.8,0,5.6,11.3,E,63,07:41,23.3,47,3,E,41,1019.9,31.3,23,1,ESE,28,1016.1
,2024-01-4,16.2,31.7,0,11.6,13.1,E,61,02:19,23.3,42,1,ENE,31,1020.8,30.8,24,1,SE,28,1016.3
,2024-01-5,16.3,32.8,0,11.0,13.2,ENE,56,04:18,23.7,47,1,ENE,24,1018.9,31.1,25,0,ENE,22,1015.3
,2024-01-6,17.6,34.7,0,6.2,13.1,NE,52,00:32,24.9,46,1,NE,22,1016.0,33.3,30,1,WSW,26,1011.5
,2024-01-7,17.1,37.3,0,9.2,12.7,ENE,50,04:37,28.5,38,4,ENE,24,1013.3,36.0,25,6,SW,24,1009.9
,2024-01-8,20.2,38.6,0,12.0,13.1,SW,48,15:29,32.4,26,1,NNE,11,1010.6,34.3,26,1,SW,37,1007.9
,2024-01-9,17.4,33.4,0,12.4,13.0,SW,48,14:00,24.5,46,1,SSW,24,1011.6,30.7,40,0,SW,31,1009.5
,2024-01-10,16.9,32.3,0,10.2,13.0,WSW,37,14:42,23.1,47,0,E,20,1013.3,29.8,39,0,WSW,28,1009.7
,2024-01-11,17.1,34.2,0,9.0,12.0,ESE,44,23:21,26.0,45,7,SW,7,1010.0,31.1,43,2,W,24,1006.9
,2024-01-12,19.4,38.0,0,9.2,13.0,E,61,21:12,25.1,51,1,E,24,1009.8,36.1,30,1,NE,11,1005.4
,2024-01-13,22.9,41.3,0.8,11.0,11.3,E,57,00:39,28.9,44,1,E,28,1007.7,40.4,18,7,SSE,11,1003.8
,2024-01-14,23.4,41.5,0,11.2,12.7,NE,52,12:29,30.8,46,1,NNW,11,1005.1,39.5,20,1,NNE,17,1002.8
,2024-01-15,21.8,36.6,0,11.0,12.1,W,43,11:44,28.1,58,0,NNW,11,1006.5,31.7,49,1,WSW,15,1004.1
,2024-01-16,20.7,42.8,0,9.0,13.0,NNW,59,13:12,32.9,41,0,ENE,19,1003.7,36.0,33,3,E,20,1002.6
,2024-01-17,23.9,32.6,0,12.0,12.6,NW,43,09:52,30.5,50,1,N,9,1005.2,31.3,47,1,W,24,1004.2
,2024-01-18,21.3,27.9,0,10.0,11.0,WSW,44,13:06,24.2,52,2,W,19,1008.3,27.2,48,2,WSW,30,1007.8
,2024-01-19,20.8,29.5,0,10.2,12.8,W,41,12:41,25.1,51,5,SW,13,1009.3,28.3,46,1,SW,28,1007.6
,2024-01-20,16.3,36.1,0,7.8,13.1,SW,37,13:56,27.0,44,0,E,20,1009.6,34.2,32,0,SSW,28,1007.3
,2024-01-21,17.3,32.1,0,9.6,13.1,SW,44,14:19,27.6,54,1,SW,17,1008.4,29.4,46,1,WSW,31,1007.1
,2024-01-22,12.8,29.8,0,10.2,13.1,SW,48,15:13,24.9,42,0,S,19,1011.6,28.4,40,0,SW,33,1009.8
,2024-01-23,13.6,29.9,0,9.4,13.0,SW,48,16:50,24.8,38,0,S,22,1013.4,27.8,37,0,SW,31,1010.5
,2024-01-24,16.8,31.1,0,8.6,12.9,SW,52,14:38,24.0,48,0,SSE,19,1013.6,28.1,40,1,SW,37,1010.2
,2024-01-25,17.3,31.8,0,10.4,12.6,SW,46,16:33,22.6,47,1,S,20,1015.4,29.8,34,0,SW,33,1011.7
,2024-01-26,16.4,31.9,0,10.6,12.9,ESE,54,01:15,22.2,45,0,E,28,1019.0,29.6,32,2,WSW,26,1014.3
,2024-01-27,16.5,35.0,0,8.4,13.0,ENE,39,07:07,25.1,34,0,ENE,19,1013.6,33.6,21,0,WSW,28,1007.9
,2024-01-28,13.6,28.9,0,10.0,12.1,SSW,50,13:26,23.0,57,7,S,26,1011.9,27.4,53,3,SW,31,1010.4
,2024-01-29,17.2,31.2,0,8.8,12.6,E,46,08:56,22.8,43,1,E,26,1017.3,28.4,38,0,SW,28,1014.5
,2024-01-30,17.5,38.3,0,10.0,12.9,E,67,05:27,25.3,39,0,ENE,31,1018.0,37.9,21,0,WSW,20,1013.9
,2024-01-31,18.5,43.2,0,11.2,12.9,ENE,41,06:16,34.3,24,0,NE,20,1015.8,41.9,14,1,WSW,28,1012.7
