,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,11.4,30.6,0,,,S,56,18:14,17.0,70,3,SE,7,1019.5,28.4,31,3,WNW,13,1015.6
,2024-01-2,14.7,26.7,2.6,,,SE,46,14:48,16.0,99,6,S,20,1014.6,22.5,77,4,S,22,1012.5
,2024-01-3,15.8,30.0,19.2,,,SSW,37,17:16,20.7,85,8,SE,4,1014.2,26.8,61,6,SE,2,1012.4
,2024-01-4,16.3,27.2,4.6,,,SSW,46,19:21,16.8,88,8,S,22,1018.5,25.8,51,3,S,22,1018.1
,2024-01-5,16.4,31.2,0,,,S,41,18:02,21.0,72,2,S,11,1019.8,29.5,39,4,ESE,11,1017.0
,2024-01-6,16.2,31.1,0,,,NW,43,17:35,23.9,64,3,ENE,11,1017.3,30.9,39,7,NNE,17,1013.3
,2024-01-7,19.5,23.5,2.0,,,ENE,35,12:08,21.8,86,6,E,7,1009.9,20.0,100,8,ENE,15,1007.9
,2024-01-8,18.1,20.5,39.6,,,S,48,17:45,18.7,99,8,SSW,11,1009.2,19.4,88,8,S,28,1011.1
,2024-01-9,15.4,28.4,0.2,,,S,31,01:45,18.7,83,5,S,17,1013.7,26.3,48,4,SSW,11,1011.1
,2024-01-10,15.1,28.0,0,,,S,31,20:03,16.8,100,, ,Calm,1012.5,26.9,42,2,SSW,7,1013.2
,2024-01-11,13.7,28.7,0,,,SSE,37,16:19,17.3,76,4,S,15,1019.4,27.1,34,0,SSE,24,1018.8
,2024-01-12,11.2,34.4,0,,,S,48,18:52,19.6,70,,WSW,11,1017.4,32.6,19,2,NW,11,1014.6
,2024-01-13,16.2,22.2,0,,,SSE,56,17:11,18.2,81,7,SSE,17,1017.1,20.4,71,7,S,26,1018.5
,2024-01-14,11.3,24.8,0,,,SSE,54,12:12,14.6,73,6,SSE,26,1020.6,23.3,36,7,SSE,35,1018.4
,2024-01-15,14.4,30.5,0,,,ENE,37,11:54,20.7,73,3,ESE,13,1018.7,27.7,51,4,NE,19,1015.4
,2024-01-16,18.9,28.7,0,,,NNW,48,19:20,21.5,58,1,NE,22,1012.2,27.0,49,4,N,30,1007.7
,2024-01-17,16.2,21.7,14.2,,,N,35,01:46,16.5,95,8,S,15,1005.3,21.1,49,3,WSW,13,1004.9
,2024-01-18,12.4,21.6,0,,,WSW,41,09:55,14.7,72,7,WSW,13,1008.1,18.3,53,6,WSW,20,1007.5
,2024-01-19,9.5,25.9,0,,,SSE,28,05:58,14.1,71,8,S,13,1011.9,24.0,36,2,SSE,6,1009.4
,2024-01-20,13.4,31.9,0,,,S,39,21:03,18.2,74,8,NNE,9,1007.9,29.2,23,8,N,19,1004.0
,2024-01-21,13.8,23.0,0,,,S,50,16:22,15.1,77,8,S,20,1007.9,21.4,44,4,S,30,1009.4
,2024-01-22,11.2,24.1,0,,,S,44,08:26,14.2,64,3,SE,28,1015.4,22.4,37,3,SE,28,1014.0
,2024-01-23,8.3,33.3,0,,,N,33,18:11,16.8,63,2,ESE,9,1012.4,29.4,20,3,NNW,15,1008.7
,2024-01-24,16.8,33.8,0,,,WSW,41,15:36,25.9,38,4,NNW,13,1006.0,31.9,15,2,SW,19,1006.7
,2024-01-25,14.7,20.2,0.6,,,N,24,14:02,16.1,95,7,W,2,1008.8,19.5,72,8,NNW,17,1007.8
,2024-01-26,13.5,22.9,3.0,,,SW,41,10:48,16.1,75,5,WNW,9,1007.5,22.0,35,6,WSW,20,1008.1
,2024-01-27,8.5,22.9,0,,,SW,37,13:33,14.8,71,5,N,9,1009.9,21.1,41,6,SW,20,1008.2
,2024-01-28,11.3,28.7,0,,,ESE,26,12:53,16.1,80,4,N,4,1012.6,25.7,39,2,N,11,1010.5
,2024-01-29,12.8,31.8,0,,,SSE,48,18:39,20.1,77,,E,2,1010.7,30.3,27,3,WSW,20,1009.7
,2024-01-30,14.3,29.5,0,,,S,56,18:51,17.3,75,5,SE,13,1014.9,28.0,30,,W,7,1012.2
,2024-01-31,12.5,25.3,0,,,S,52,08:22,15.6,69,6,SSE,31,1017.1,23.3,42,2,SSE,24,1016.4
